Relevant Mention,Positive Sentiment,Negative Sentiment,Neutral Sentiment,High Intensity,Low Intensity,Medium Intensity
Finds Way Around Ban,0.00,0.99,0.14,0.20,0.78,0.59
Japan changes its mind about Antarctic whaling ban,0.00,0.37,0.93,0.00,0.93,0.37
Japan finds way around ban on whaling,0.08,0.78,0.45,0.19,0.77,0.49
"Japan changes its mind about Antarctic whaling ban, plans to continue hunts in 2015",0.15,0.88,0.44,0.14,0.95,0.27
whaling fleet leaves Japan since UN hunting ban in Antarctic,0.22,0.44,0.87,0.23,0.69,0.69
Japanese whaling fleet leaves port weeks after International court delivers ban verdict,0.27,0.80,0.53,0.00,0.71,0.71
International court delivers ban verdict,0.45,0.00,0.89,0.00,0.98,0.20
Japan Accepted Court ban on Antarctic Whaling,0.55,0.53,0.39,0.00,0.73,0.59
Japan accepts court ban,0.55,0.00,0.83,0.00,0.83,0.55
Antarctic whaling ban,0.63,0.22,0.70,0.04,0.87,0.40
ban on Antarctic whaling,0.70,0.17,0.70,0.00,0.99,0.12
Japan accepts court ban on Antarctic whaling,0.72,0.20,0.61,0.26,0.88,0.26
UN hunting ban in Antarctic,0.78,0.59,0.20,0.18,0.91,0.37
Japan whaling ban,0.79,0.37,0.40,0.08,0.75,0.49
Japan whaling ban welcomed,0.97,0.16,0.16,0.10,0.75,0.65
